index,OPE ID,School,City_x,State_x,Zip Code,School Type,Loan Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,Lat,Lng,City_y,State_y,Full Zip Code
0,1051,UNIVERSITY OF ALABAMA,TUSCALOOSA,AL,35487,Public,Subsidized,7594,7622,33040862.0,7622,16774054.0,33.21426,-87.54782,Tuscaloosa,AL,35487
1,1052,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL,35294,Public,Subsidized,4272,4352,18590061.0,4352,9058344.0,33.5206824,-86.8024326,BIRMINGHAM,AL,35294
2,1009,AUBURN UNIVERSITY,AUBURN,AL,36849,Public,Subsidized,4504,4504,19474542.0,4535,10142490.0,32.59953,-85.48858,Auburn University,AL,36849
3,1057,UNIVERSITY OF SOUTH ALABAMA,MOBILE,AL,36688,Public,Subsidized,3438,3487,15061071.0,3487,7557853.0,30.69559,-88.18783,Mobile,AL,36688
4,1047,TROY UNIVERSITY,TROY,AL,36082,Public,Subsidized,4334,4355,18467508.0,4355,7395839.0,31.80271,-85.95514,Troy,AL,36082
5,1036,SAMFORD UNIVERSITY,BIRMINGHAM,AL,35229,Private-Nonprofit,Subsidized,638,638,2725011.0,638,1412105.0,33.46434,-86.79399,Birmingham,AL,35229
6,1024,UNIVERSITY OF WEST ALABAMA,LIVINGSTON,AL,35470,Public,Subsidized,1085,1098,4552993.0,1098,2306439.0,32.56801,-88.09894,Livingston,AL,35470
8,1020,JACKSONVILLE STATE UNIVERSITY,JACKSONVILLE,AL,36265,Public,Subsidized,2894,2895,12057276.0,2895,6150665.0,33.84659,-85.78662,Jacksonville,AL,36265
9,1050,TUSKEGEE UNIVERSITY,TUSKEGEE,AL,36088,Private-Nonprofit,Subsidized,1104,1107,4957913.0,1108,2482547.0,32.41911,-85.718,Tuskegee Institute,AL,36088
10,1016,UNIVERSITY OF NORTH ALABAMA,FLORENCE,AL,35632,Public,Subsidized,1918,1918,8105569.0,1919,4115823.0,34.80763,-87.68043,Florence,AL,35632
11,1002,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,NORMAL,AL,35762,Public,Subsidized,1901,1914,8102120.0,1914,4054082.0,34.7889792,-86.5719369,NORMAL,AL,35762
12,1055,UNIVERSITY OF ALABAMA IN HUNTSVILLE,HUNTSVILLE,AL,35899,Public,Subsidized,1976,2018,8537589.0,2018,4336306.0,34.729847,-86.5859011,HUNTSVILLE,AL,35899
13,41215,COLUMBIA SOUTHERN UNIVERSITY,ORANGE BEACH,AL,36561,Proprietary,Subsidized,1518,1574,4921204.0,1924,2003003.0,30.28813,-87.57142,Orange Beach,AL,36561
14,8310,AUBURN UNIVERSITY MONTGOMERY,MONTGOMERY,AL,36124,Public,Subsidized,1785,1798,7486327.0,1798,3751381.0,32.376865,-86.1720349,MONTGOMERY,AL,36124
15,1005,ALABAMA STATE UNIVERSITY,MONTGOMERY,AL,36101,Public,Subsidized,1048,1048,4553710.0,1065,2325766.0,32.38177,-86.29763,Montgomery,AL,36101
16,1003,FAULKNER UNIVERSITY,MONTGOMERY,AL,36109,Private-Nonprofit,Subsidized,844,845,2929270.0,877,1397030.0,32.38682,-86.24052,Montgomery,AL,36109
17,1004,UNIVERSITY OF MONTEVALLO,MONTEVALLO,AL,35115,Public,Subsidized,908,919,3799537.0,919,1902996.0,33.12133,-86.89605,Montevallo,AL,35115
18,1008,ATHENS STATE UNIVERSITY,ATHENS,AL,35611,Public,Subsidized,889,889,3783375.0,889,2015819.0,34.76554,-87.08418,Athens,AL,35611
20,1029,UNIVERSITY OF MOBILE,MOBILE,AL,36613,Private-Nonprofit,Subsidized,539,539,2239325.0,579,1189690.0,30.81175,-88.18176,Eight Mile,AL,36613
21,1028,MILES COLLEGE,FAIRFIELD,AL,35064,Private-Nonprofit,Subsidized,777,777,3308769.0,777,1656795.0,33.47474,-86.91964,Fairfield,AL,35064
22,1013,CALHOUN COMMUNITY COLLEGE,DECATUR,AL,35609,Public,Subsidized,873,873,3108328.0,1073,1548915.0,34.575717,-86.990658,DECATUR,AL,35609
23,1041,SPRING HILL COLLEGE,MOBILE,AL,36608,Private-Nonprofit,Subsidized,477,479,2053360.0,479,1026861.0,30.68115,-88.29593,Mobile,AL,36608
24,1046,TALLADEGA COLLEGE,TALLADEGA,AL,35160,Private-Nonprofit,Subsidized,756,756,3274123.0,758,1640202.0,33.36898,-86.1005,Talladega,AL,35160
25,1019,HUNTINGDON COLLEGE,MONTGOMERY,AL,36106,Private-Nonprofit,Subsidized,463,463,1982166.0,463,984966.0,32.35264,-86.25793,Montgomery,AL,36106
26,7871,GEORGE C. WALLACE STATE COMMUNITY COLLEGE-MAIN CAMPUS,HANCEVILLE,AL,35077,Public,Subsidized,708,722,2464092.0,726,1251660.0,34.01984,-86.83108,Hanceville,AL,35077
27,1060,COASTAL ALABAMA COMMUNITY COLLEGE,BAY MINETTE,AL,36507,Public,Subsidized,804,810,2618875.0,810,1310969.0,30.85893,-87.74188,Bay Minette,AL,36507
28,1022,JEFFERSON STATE COMMUNITY COLLEGE,BIRMINGHAM,AL,35215,Public,Subsidized,1281,1283,4735243.0,1283,2371545.0,33.64911,-86.70435,Birmingham,AL,35215
29,1012,BIRMINGHAM-SOUTHERN COLLEGE,BIRMINGHAM,AL,35254,Private-Nonprofit,Subsidized,337,337,1466641.0,337,740186.0,33.51375,-86.85282,Birmingham,AL,35254
30,1040,SOUTHERN UNION STATE COMMUNITY COLLEGE,WADLEY,AL,36276,Public,Subsidized,533,535,1910554.0,535,958057.0,33.12644,-85.57772,Wadley,AL,36276
31,1044,STILLMAN COLLEGE,TUSCALOOSA,AL,35403,Private-Nonprofit,Subsidized,425,429,1777780.0,429,888095.0,33.2095614,-87.5675258,TUSCALOOSA,AL,35403
32,1033,OAKWOOD UNIVERSITY,HUNTSVILLE,AL,35896,Private-Nonprofit,Subsidized,300,300,1377700.0,301,677819.0,34.75318,-86.65213,Huntsville,AL,35896
34,11462,UNIVERSITY OF ALASKA ANCHORAGE,ANCHORAGE,AK,99514,Public,Subsidized,1298,1298,5115210.0,1298,2798570.0,61.21806,-149.90028,ANCHORAGE,AK,99514
