index,OPE ID_x,School,City_x,State,Zip Code,School Type,Loan Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,OPE ID_y,Address,City_y,StateCode,ZipCode,Province,Country,PostalCode
0,001051,UNIVERSITY OF ALABAMA,TUSCALOOSA,AL,35487,Public,Subsidized,7594,7622,33040862.0,7622,16774054.0,,,,,,,,
11,001002,ALABAMA AGRICULTURAL & MECHANICAL UNIVERSITY,NORMAL,AL,35762,Public,Subsidized,1901,1914,8102120.0,1914,4054082.0,,,,,,,,
14,008310,AUBURN UNIVERSITY MONTGOMERY,MONTGOMERY,AL,36124,Public,Subsidized,1785,1798,7486327.0,1798,3751381.0,,,,,,,,
26,007871,GEORGE C. WALLACE STATE COMMUNITY COLLEGE-MAIN CAMPUS,HANCEVILLE,AL,35077,Public,Subsidized,708,722,2464092.0,726,1251660.0,,,,,,,,
29,001012,BIRMINGHAM-SOUTHERN COLLEGE,BIRMINGHAM,AL,35254,Private-Nonprofit,Subsidized,337,337,1466641.0,337,740186.0,,,,,,,,
30,001040,SOUTHERN UNION STATE COMMUNITY COLLEGE,WADLEY,AL,36276,Public,Subsidized,533,535,1910554.0,535,958057.0,,,,,,,,
37,001081,ARIZONA STATE UNIVERSITY,TEMPE,AZ,85287,Public,Subsidized,26663,27113,117502581.0,27113,59581527.0,,,,,,,,
39,001083,UNIVERSITY OF ARIZONA (THE),TUCSON,AZ,85721,Public,Subsidized,6056,6132,25778062.0,6132,13329275.0,,,,,,,,
47,001108,UNIVERSITY OF ARKANSAS,FAYETTEVILLE,AR,72701,Public,Subsidized,4130,4333,17654364.0,4333,9023110.0,,,,,,,,
49,001101,UNIVERSITY OF ARKANSAS AT LITTLE ROCK,LITTLE ROCK,AR,72204,Public,Subsidized,2135,2155,9200773.0,2155,4641295.0,,,,,,,,
51,001109,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,LITTLE ROCK,AR,72205,Public,Subsidized,359,433,1612023.0,433,826868.0,,,,,,,,
55,001110,UNIVERSITY OF ARKANSAS AT FORT SMITH,FORT SMITH,AR,72904,Public,Subsidized,1526,1526,6145898.0,1536,3075477.0,,,,,,,,
57,001086,UNIVERSITY OF ARKANSAS AT PINE BLUFF,PINE BLUFF,AR,71601,Public,Subsidized,995,999,4125704.0,999,2063639.0,,,,,,,,
59,020753,UNIVERSITY OF ARKANSAS - PULASKI TECHNICAL COLLEGE,,AR,NaN,Public,Subsidized,1599,1603,5813412.0,1603,2907201.0,,,,,,,,
61,001085,UNIVERSITY OF ARKANSAS AT MONTICELLO,MONTICELLO,AR,71656,Public,Subsidized,497,497,2096723.0,497,1048348.0,,,,,,,,
63,030633,NORTHWEST ARKANSAS COMMUNITY COLLEGE,BENTONVILLE,AR,72712,Public,Subsidized,496,505,1503113.0,505,407491.0,,,,,,,,
65,012105,NATIONAL PARK COLLEGE,HOT SPRINGS,AR,71913,Public,Subsidized,415,415,1526316.0,415,770954.0,,,,,,,,
73,001315,"UNIVERSITY OF CALIFORNIA, LOS ANGELES",LOS ANGELES,CA,90095,Public,Subsidized,4209,4224,18756159.0,4224,6483065.0,,,,,,,,
75,001313,"UNIVERSITY OF CALIFORNIA, DAVIS",DAVIS,CA,95616,Public,Subsidized,5464,5467,24461982.0,5477,8204666.0,,,,,,,,
81,001314,"UNIVERSITY OF CALIFORNIA, IRVINE",IRVINE,CA,92697,Public,Subsidized,4239,4280,18871500.0,4280,6352307.0,,,,,,,,
83,001317,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",LA JOLLA,CA,92093,Public,Subsidized,6185,6339,28764115.0,6339,9602335.0,,,,,,,,
86,001153,"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE",NORTHRIDGE,CA,91330,Public,Subsidized,5746,5797,26396778.0,5797,13726152.0,,,,,,,,
89,001316,"UNIVERSITY OF CALIFORNIA, RIVERSIDE",RIVERSIDE,CA,92521,Public,Subsidized,5908,5937,25248542.0,5937,8630224.0,,,,,,,,
90,001139,"CALIFORNIA STATE UNIVERSITY, LONG BEACH",LONG BEACH,CA,90840,Public,Subsidized,6138,6159,27206753.0,6160,14404595.0,,,,,,,,
