index,OPE ID_x,School_x,City_x,State,Zip Code,School Type,Loan Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,OPE ID_y,School,Address,City,StateCode,ZipCode,Province,Country,PostalCode
19,025034,AMRIDGE UNIVERSITY,,AL,NaN,Private-Nonprofit,Subsidized,217,217,881350.0,217,294889.0,016885,AMRIDGE UNIVERSITY,1200 TAYLOR RD  PO BOX 240240,MONTGOMERY,AL,36124.0,,,
33,023410,FORTIS COLLEGE,,AL,NaN,Proprietary,Subsidized,303,303,900598.0,342,362343.0,016592,FORTIS COLLEGE,7033 AIRPORT BOULEVARD,MOBILE,AL,36608.0,,,
33,023410,FORTIS COLLEGE,,AL,NaN,Proprietary,Subsidized,303,303,900598.0,342,362343.0,033614,FORTIS COLLEGE,200 EAST LAUREL AVENUE,FOLEY,AL,36535.0,,,
40,020988,UNIVERSITY OF PHOENIX,,AZ,NaN,Proprietary,Subsidized,11567,11568,46409889.0,12116,23515139.0,014593,UNIVERSITY OF PHOENIX,4035 S RIVERPOINT PKWY,PHOENIX,AZ,85040.0,,,
42,021136,AMERICAN INTERCONTINENTAL UNIVERSITY,,AZ,NaN,Proprietary,Subsidized,3269,3279,11225216.0,3476,4365356.0,014720,AMERICAN INTERCONTINENTAL UNIVERSITY,2200 EAST GERMANN ROAD,CHANDLER,AZ,85286.0,,,
43,022171,PIMA MEDICAL INSTITUTE,,AZ,NaN,Proprietary,Subsidized,2061,2062,7511973.0,2077,4010424.0,015666,PIMA MEDICAL INSTITUTE,3350 E GRANT RD SUITE 100,TUCSON,AZ,85716.0,,,
46,021005,UNIVERSAL TECHNICAL INSTITUTE,,AZ,NaN,Proprietary,Subsidized,698,699,2321207.0,771,1256507.0,008221,UNIVERSAL TECHNICAL INSTITUTE,10695 WEST PIERCE STREET,AVONDALE,AZ,85323.0,,,
46,021005,UNIVERSAL TECHNICAL INSTITUTE,,AZ,NaN,Proprietary,Subsidized,698,699,2321207.0,771,1256507.0,014518,UNIVERSAL TECHNICAL INSTITUTE,2844 W DEER VALLEY ROAD,PHOENIX,AZ,85027.0,,,
59,020753,UNIVERSITY OF ARKANSAS - PULASKI TECHNICAL COLLEGE,,AR,NaN,Public,Subsidized,1599,1603,5813412.0,1603,2907201.0,,,,,,,,,
74,010149,PEPPERDINE UNIVERSITY,,CA,NaN,Private-Nonprofit,Subsidized,792,796,3611912.0,797,1835026.0,001264,PEPPERDINE UNIVERSITY,24255 PACIFIC COAST HWY,MALIBU,CA,90263.0,,,
82,011649,LOYOLA MARYMOUNT UNIVERSITY,,CA,NaN,Private-Nonprofit,Subsidized,1318,1318,6046314.0,1324,3044958.0,001234,LOYOLA MARYMOUNT UNIVERSITY,ONE LMU DRIVE SUITE 200,LOS ANGELES,CA,90045.0,,,
100,021553,CHICAGO SCHOOL OF PROFESSIONAL PSYCHOLOGY,,CA,NaN,Private-Nonprofit,Subsidized,60,60,245428.0,60,80245.0,,,,,,,,,
141,010365,CHARLES R. DREW UNIVERSITY OF MEDICINE AND SCIENCE,,CA,NaN,Private-Nonprofit,Subsidized,70,70,282059.0,70,141029.0,,,,,,,,,
147,020705,CONCORDIA UNIVERSITY,,CA,NaN,Private-Nonprofit,Subsidized,736,736,3364500.0,736,1726740.0,013885,CONCORDIA UNIVERSITY,1530 CONCORDIA WEST,IRVINE,CA,92612.0,,,
148,038533,KECK GRADUATE INSTITUTE OF APPLIED LIFE SCIENCES,,CA,NaN,Private-Nonprofit,Subsidized,14,14,77000.0,14,38500.0,,,,,,,,,
155,025593,UNITED EDUCATION INSTITUTE,,CA,NaN,Proprietary,Subsidized,926,926,3160614.0,930,1585323.0,017169,UNITED EDUCATION INSTITUTE,6055 PACIFIC BOULEVARD,HUNTINGTON PARK,CA,90255.0,,,
161,021207,SAN JOAQUIN VALLEY COLLEGE,,CA,NaN,Proprietary,Subsidized,962,962,2828188.0,1115,1502841.0,014741,SAN JOAQUIN VALLEY COLLEGE,8344  WEST MINERAL KING AVENUE,VISALIA,CA,93291.0,,,
163,022418,AMERICAN CAREER COLLEGE,,CA,NaN,Proprietary,Subsidized,686,693,2332289.0,696,1080209.0,015829,AMERICAN CAREER COLLEGE,4021 ROSEWOOD AVENUE,LOS ANGELES,CA,90004.0,,,
163,022418,AMERICAN CAREER COLLEGE,,CA,NaN,Proprietary,Subsidized,686,693,2332289.0,696,1080209.0,039713,AMERICAN CAREER COLLEGE,3130 EAST SEDONA COURT,ONTARIO,CA,91764.0,,,
165,023305,LAGUNA COLLEGE OF ART AND DESIGN,,CA,NaN,Private-Nonprofit,Subsidized,311,319,1419199.0,319,712193.0,016517,LAGUNA COLLEGE OF ART AND DESIGN,2222 LAGUNA CANYON RD,LAGUNA BEACH,CA,92651.0,,,
201,022676,SOFIA UNIVERSITY,,CA,NaN,Proprietary,Subsidized,2,2,11000.0,2,2750.0,G22676,SOFIA UNIVERSITY,1069 EAST MEADOW CIRCLE,PALO ALTO,CA,94303.0,,,
225,021175,NAROPA UNIVERSITY,,CO,NaN,Private-Nonprofit,Subsidized,137,138,581658.0,138,320894.0,014652,NAROPA UNIVERSITY,2130 ARAPAHOE AVE,BOULDER,CO,80302.0,,,
242,022449,GOODWIN UNIVERSITY,,CT,NaN,Private-Nonprofit,Subsidized,1305,1313,4782228.0,1313,2491632.0,,,,,,,,,
244,007303,LINCOLN TECHNICAL INSTITUTE,,CT,NaN,Proprietary,Subsidized,725,726,2036293.0,845,1086718.0,015712,LINCOLN TECHNICAL INSTITUTE,200 JOHN DOWNEY DRIVE,NEW BRITAIN,CT,6051.0,,,
260,001441,UNIVERSITY OF THE DISTRICT OF COLUMBIA,,DC,NaN,Public,Subsidized,475,475,2040571.0,475,1023159.0,,,,,,,,,
270,021519,KEISER UNIVERSITY,,FL,NaN,Private-Nonprofit,Subsidized,5547,5607,20230336.0,6329,11208878.0,,,,,,,,,
275,023621,FULL SAIL UNIVERSITY,,FL,NaN,Proprietary,Subsidized,4322,4322,16835550.0,4526,8706603.0,016812,FULL SAIL UNIVERSITY,3300 UNIVERSITY BLVD,WINTER PARK,FL,32792.0,,,
301,023058,FLORIDA CAREER COLLEGE,,FL,NaN,Proprietary,Subsidized,1010,1010,3308378.0,1051,1665472.0,E40425,FLORIDA CAREER COLLEGE,7891 PINES BOULEVARD,PEMBROKE PINES,FL,33024.0,,,
