,Zip Code,Lat,Lng,Full Zip Code
0,601,18.18027,-66.75266,00601
1,602,18.36075,-67.17541,00602
2,603,18.45744,-67.12225,00603
3,606,18.16585,-66.93716,00606
4,610,18.2911,-67.12243,00610
5,611,18.27698,-66.80688,00611
6,612,18.41283,-66.7051,00612
7,616,18.41878,-66.6679,00616
8,617,18.44598,-66.56006,00617
9,622,17.98892,-67.1566,00622
10,623,18.08429,-67.15336,00623
11,624,18.05905,-66.71932,00624
12,627,18.41905,-66.86037,00627
13,631,18.1852,-66.83169,00631
14,636,18.16354,-67.08014,00636
15,637,18.081,-66.94659,00637
16,638,18.28462,-66.5137,00638
17,641,18.26742,-66.70212,00641
18,646,18.43251,-66.28429,00646
19,647,17.96667,-66.94266,00647
20,650,18.34487,-66.58347,00650
21,652,18.45614,-66.60194,00652
22,653,17.99413,-66.90266,00653
23,656,18.04186,-66.79123,00656
24,659,18.41036,-66.79691,00659
25,660,18.13412,-67.11399,00660
26,662,18.46622,-67.01508,00662
27,664,18.21064,-66.59066,00664
28,667,18.01246,-67.0417,00667
29,669,18.27019,-66.86727,00669
30,670,18.23782,-66.98852,00670
31,674,18.42229,-66.4891,00674
32,676,18.37897,-67.08098,00676
33,677,18.33535,-67.23155,00677
34,678,18.42949,-66.93016,00678
35,680,18.16307,-67.36122,00680
36,682,18.22415,-67.15309,00682
37,683,18.10926,-67.03803,00683
38,685,18.33656,-66.97518,00685
39,687,18.31707,-66.42029,00687
40,688,18.3807,-66.62496,00688
41,690,18.49363,-67.09734,00690
42,692,18.40905,-66.33768,00692
43,693,18.42633,-66.39811,00693
44,694,18.48327,-66.39269,00694
45,698,18.07274,-66.85519,00698
46,703,18.24739,-66.13143,00703
47,704,17.97442,-66.22888,00704
48,705,18.1294,-66.26653,00705
49,707,18.01752,-65.92127,00707
50,714,17.9981,-66.05635,00714
51,715,17.99738,-66.56104,00715
52,716,17.99942,-66.59868,00716
53,717,18.00272,-66.61146,00717
54,718,18.23145,-65.76067,00718
55,719,18.28879,-66.25316,00719
56,720,18.21559,-66.42421,00720
57,723,18.03139,-66.01122,00723
58,725,18.22052,-66.03962,00725
59,727,18.21142,-66.07374,00727
60,728,18.00697,-66.65995,00728
61,729,18.33524,-65.88677,00729
62,730,18.03256,-66.61384,00730
63,731,18.09914,-66.63279,00731
64,735,18.2525,-65.67534,00735
65,736,18.10736,-66.14994,00736
66,738,18.31793,-65.66793,00738
67,739,18.17543,-66.16198,00739
68,740,18.33251,-65.63419,00740
69,741,18.16569,-65.75506,00741
70,745,18.3466,-65.81382,00745
71,751,18.01205,-66.25871,00751
72,754,18.1447,-65.97565,00754
73,757,17.9933,-66.39056,00757
74,765,18.12365,-65.43013,00765
75,766,18.13039,-66.4757,00766
76,767,18.07033,-65.89618,00767
77,769,18.09459,-66.3607,00769
78,771,18.18797,-65.86916,00771
79,772,18.43048,-65.90377,00772
80,773,18.34073,-65.72756,00773
81,775,18.31387,-65.28618,00775
82,777,18.22365,-65.90904,00777
83,778,18.26319,-65.97938,00778
84,780,18.09998,-66.57032,00780
85,782,18.22501,-66.22452,00782
86,783,18.30348,-66.32851,00783
87,784,18.00558,-66.13651,00784
88,786,18.1357,-66.22881,00786
89,791,18.14391,-65.81398,00791
90,794,18.19934,-66.31179,00794
91,795,18.05128,-66.49485,00795
92,802,18.34349,-64.9287,00802
93,820,17.7388,-64.70695,00820
94,830,18.33857,-64.73802,00830
95,840,17.72649,-64.84717,00840
96,850,17.72763,-64.79122,00850
97,851,17.74757,-64.78737,00851
98,901,18.46478,-66.10277,00901
99,906,18.46446,-66.09499,00906
100,907,18.45287,-66.08381,00907
