OPE ID,SchoolName,Address,City,StateCode,ZipCode,Province,Country,PostalCode
B04724,WIDENER UNIVERSITY - DELAWARE LAW SCHOOL,4601 CONCORD PIKE,WILMINGTON,DE,19803,NA,NA,NA
B06171,CENTER FOR ADVANCED STUDIES OF PUER,52 DEL CRISTO STREET,OLD SAN JUAN,PR,00901,NA,NA,NA
B06511,PENTECOSTAL THEOLOGICAL SEMINARY,PO BOX 3330,CLEVELAND,TN,37320,NA,NA,NA
B07022,THE CHICAGO SCHOOL OF PROF PSYCHOLOGY,707 WILSHIRE BOULEVARD,LOS ANGELES,CA,90017,NA,NA,NA
B07624,NATIONAL UNIVERSITY OF NATURAL MEDICINE,049 SOUTHWEST PORTER STREET,PORTLAND,OR,97201,NA,NA,NA
B07625,OREGON COLLEGE OF ORIENTAL MEDICINE,75 NORTHWEST COUCH STREET,PORTLAND,OR,97209,NA,NA,NA
B08041,ADLER GRADUATE SCHOOL,1550 E 78TH ST,RICHFIELD,MN,55423,NA,NA,NA
B08083,UNIV OF THE DIST OF COLU -SCHOOL OF LAW,4200 CONNECTICUT AVENUE NW,WASHINGTON,DC,20008,NA,NA,NA
B42154,GRACE SCHOOL OF THEOLOGY,3705 COLLEGE PARK DRIVE,THE WOODLANDS,TX,77384,NA,NA,NA
E00014,AMRCN REPERTORY THTR INST ADV THTR,64 BRATTLE STREET,CAMBRIDGE,MA,02138,NA,NA,NA
E00058,BROWN UNIVERSITY - GRADUATE SCHOOL,8 FONES ALLEY,PROVIDENCE,RI,02912,NA,NA,NA
E00059,BROWN MEDICAL SCHOOL,97 WATERMAN STREET  BOX G-A212,PROVIDENCE,RI,02912,NA,NA,NA
E00077,CASE WESTERN RESERVE UNIV - UG,10900 EUCLID AVENUE,CLEVELAND,OH,44106,NA,NA,NA
E00078,CASE WESTERN RESERVE UNIV - DENTAL,10900 EUCLID AVE,CLEVELAND,OH,44106,NA,NA,NA
E00079,CASE WESTERN RESERVE UNIV - MED,10900 EUCLID AVE T-303,CLEVELAND,OH,44106,NA,NA,NA
E00080,CASE WESTERN RESERVE UNIV - WSOM,10900 EUCLID AVE,CLEVELAND,OH,44106,NA,NA,NA
E00081,CASE WESTERN RESERVE UNIV - NURS UG,10900 EUCLID AVE,CLEVELAND,OH,44106,NA,NA,NA
E00082,CASE WESTERN RESERVE UNIV - LAW,10900 EUCLID AVE,CLEVELAND,OH,44106,NA,NA,NA
E00083,CASE WESTERN RESERVE UNIV -NURS GRD,10900 EUCLID AVE,CLEVELAND,OH,44106,NA,NA,NA
E00084,CASE WESTERN RESERVE UNIV - MSASS,10900 EUCLID AVE,CLEVELAND,OH,44106,NA,NA,NA
E00131,"CATHOLIC UNIV AMERICA, LAW SCHOOL",OFC FNCL AID  CARDINAL STATION,WASHINGTON,DC,20064,NA,NA,NA
E00171,EAST TENNESSEE STATE UNIV - MEDICINE,VA CAMPUS MAPLE AVENUE,JOHNSON CITY,TN,37614,NA,NA,NA
E00177,ERSKINE THEOLOGICAL SEMINARY,PO BOX 668,DUE WEST,SC,29639,NA,NA,NA
E00196,GEORGE WASHINGTON UNIV LAW SCHL,2000 H STREET NW,WASHINGTON,DC,20052,NA,NA,NA
