index,OPE ID,School,City,State,Zip Code,School Type,Loan Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
17167,1328,UNIVERSITY OF SOUTHERN CALIFORNIA,LOS ANGELES,CA,90089,Private-Nonprofit,Grad Plus,5613,5760,108725713,5760,108565375
8812,1509,NOVA SOUTHEASTERN UNIVERSITY-DAVIE,FORT LAUDERDALE,FL,33314,Private-Nonprofit,Unsubsidized - Graduate,8663,8707,106710999,8710,106710999
19883,22333,"ST. GEORGE'S UNIVERSITY, SCHOOL OF MEDICINE",,,,Foreign-For-Profit,Grad Plus,3045,3183,153948017,3186,103155983
8619,1328,UNIVERSITY OF SOUTHERN CALIFORNIA,LOS ANGELES,CA,90089,Private-Nonprofit,Unsubsidized - Graduate,8662,8726,100481022,8728,100481022
18071,2785,NEW YORK UNIVERSITY,NEW YORK,NY,10012,Private-Nonprofit,Grad Plus,4200,4537,154068506,4537,84427896
10132,20530,LIBERTY UNIVERSITY,,VA,,Private-Nonprofit,Unsubsidized - Graduate,12390,12662,232387661,12662,82298123
17360,1509,NOVA SOUTHEASTERN UNIVERSITY-DAVIE,FORT LAUDERDALE,FL,33314,Private-Nonprofit,Grad Plus,4322,4511,109115098,4511,74111085
8586,1074,GRAND CANYON UNIVERSITY,PHOENIX,AZ,85017,Proprietary,Unsubsidized - Graduate,9635,9639,139108046,9876,73987720
9336,32673,CAPELLA UNIVERSITY,MINNEAPOLIS,MN,55402,Proprietary,Unsubsidized - Graduate,16211,21120,258601543,21164,73762493
4311,1081,ARIZONA STATE UNIVERSITY,TEMPE,AZ,85287,Public,Unsubsidized - Undergraduate,26078,26732,143877613,26732,73170602
8585,1081,ARIZONA STATE UNIVERSITY,TEMPE,AZ,85287,Public,Unsubsidized - Graduate,8053,8498,138462888,8498,69698946
9490,2629,"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY",NEW BRUNS-NEWARK-CAMDEN,NJ,8901,Public,Unsubsidized - Graduate,5672,5676,130536257,5714,64988746
13800,3329,PENNSYLVANIA STATE UNIVERSITY (THE),UNIVERSITY PARK,PA,16802,Public,Parent Plus,4941,5172,122411437,5172,64166250
13797,2785,NEW YORK UNIVERSITY,NEW YORK,NY,10012,Private-Nonprofit,Parent Plus,3045,3167,116128139,3167,61376138
9337,25042,WALDEN UNIVERSITY,MINNEAPOLIS,MN,55401,Proprietary,Unsubsidized - Graduate,9769,9790,175956691,9796,60666401
8801,1444,GEORGE WASHINGTON UNIVERSITY,WASHINGTON,DC,20052,Private-Nonprofit,Unsubsidized - Graduate,4946,4976,116998435,4976,59706822
8813,1535,UNIVERSITY OF FLORIDA,GAINESVILLE,FL,32611,Public,Unsubsidized - Graduate,4952,6750,117856892,6750,59630300
37,1081,ARIZONA STATE UNIVERSITY,TEMPE,AZ,85287,Public,Subsidized,26663,27113,117502581,27113,59581527
978,3329,PENNSYLVANIA STATE UNIVERSITY (THE),UNIVERSITY PARK,PA,16802,Public,Subsidized,24849,24983,109644442,24983,55372782
9523,2785,NEW YORK UNIVERSITY,NEW YORK,NY,10012,Private-Nonprofit,Unsubsidized - Graduate,5329,5407,96733268,5407,53476318
9278,2290,MICHIGAN STATE UNIVERSITY,EAST LANSING,MI,48824,Public,Unsubsidized - Graduate,3880,4200,80883039,4200,51943129
18072,2707,COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,NEW YORK,NY,10027,Private-Nonprofit,Grad Plus,2176,2363,98559854,2375,50286754
17351,1445,GEORGETOWN UNIVERSITY,WASHINGTON,DC,20057,Private-Nonprofit,Grad Plus,2697,2702,102235391,2752,50018109
12859,1081,ARIZONA STATE UNIVERSITY,TEMPE,AZ,85287,Public,Parent Plus,4615,4725,98408705,4725,49384304
8924,1776,UNIVERSITY OF ILLINOIS AT CHICAGO,CHICAGO,IL,60612,Public,Unsubsidized - Graduate,3879,3998,100557782,3998,49377346
5252,3329,PENNSYLVANIA STATE UNIVERSITY (THE),UNIVERSITY PARK,PA,16802,Public,Unsubsidized - Undergraduate,26564,27261,97199710,27261,49085538
9338,3969,UNIVERSITY OF MINNESOTA - TWIN CITIES,MINNEAPOLIS,MN,55455,Public,Unsubsidized - Graduate,4151,4337,86961101,4337,48868655
